noise_power,dawid_skene,majority_vote,LELA,Metal,flying_squid,data_programming,ebcc,NPLM
0.0,0.44499880022759525,0.6498916765783751,0.6892913111156801,0.654810538798657,0.6030319530695046,0.6023836282787078,0.3754955276125064,0.4011405140022246
0.05,0.4242670374850532,0.5136759629088231,0.5508349633309924,0.5150748486694327,0.5052906981886139,0.5013770403955592,0.4485589758160439,0.4276985755128491
0.1,0.45177924736090036,0.4765673467767485,0.5168133517226771,0.4881584004313185,0.46204544216371357,0.46049841220591603,0.438463082129262,0.4029746510753439
0.15,0.4584361929332351,0.4580410019868637,0.4999738471781208,0.4678106319990213,0.4480911678610459,0.44337245854980073,0.4256861601666074,0.3975216731102315
0.2,0.4544966457907548,0.443974647084225,0.485025832473667,0.4523681733174524,0.43406319650235975,0.4327306499787846,0.42141603950054585,0.3983691955282507
0.25,0.4642548735355872,0.4354661939548743,0.4769982298208796,0.4343463802079391,0.42907950000419043,0.42416776066741085,0.4083760185651314,0.36991197764228767
0.3,0.4680609900631546,0.4277896729907821,0.467011658244869,0.4205017781844784,0.4207679854008331,0.4221556051451584,0.4047875406262539,0.38898650685568537
0.35,0.46562301726106703,0.4227233569507229,0.4585927304574458,0.41061218516868525,0.4176171149366132,0.40906129188025914,0.40392800456178873,0.412654709459321
0.4,0.46350314819231037,0.41729712382577,0.4495568565116958,0.40506265645765765,0.4107569776108425,0.4016998217931164,0.4058395076101083,0.40872019463735226
0.45,0.45668317215638504,0.4125639865470609,0.4416968076316219,0.4018758525323066,0.40614773272056715,0.39780694501362585,0.4013890731612201,0.3991932482888459
0.5,0.45254938198775824,0.40880071272939633,0.43514987915382364,0.39969187383332727,0.3843645024967168,0.3917601816032147,0.39921463517770567,0.3960735280589621
