dataset,lf_index,coverage,accuracy,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,conflict_rate,positive_bias,n_abstain,n_positive,n_negative,n_labeled,total_samples,true_negatives,false_positives,false_negatives,true_positives
census,10,0.10036238560284995,0.9424724602203183,0.0,0.0,0.0,0.9424724602203183,1.0,0.9703843730308759,0.47123623011015914,0.5,0.48519218651543794,0.8882543382737393,0.9424724602203183,0.9145605474097607,0.11925248722774939,0.0,14647,0,1634,1634,16281,,,,
census,11,0.1623364658190529,0.9886492622020431,0.0,0.0,0.0,0.9886492622020431,1.0,0.9942922374429224,0.49432463110102154,0.5,0.4971461187214612,0.9774273636526442,0.9886492622020431,0.983006286961164,0.008944543828264758,0.0,13638,0,2643,2643,16281,,,,
census,12,0.03046495915484307,0.8729838709677419,0.0,0.0,0.0,0.8729838709677419,1.0,0.9321851453175457,0.43649193548387094,0.5,0.46609257265877285,0.7621008389698231,0.8729838709677419,0.8137825966179381,0.08288409703504043,0.0,15785,0,496,496,16281,,,,
census,13,0.009397457158651189,0.9607843137254902,0.0,0.0,0.0,0.9607843137254902,1.0,0.98,0.4803921568627451,0.5,0.49,0.9231064975009613,0.9607843137254902,0.9415686274509804,0.00423728813559322,0.0,16128,0,153,153,16281,,,,
census,14,0.052576623057551744,0.9158878504672897,0.0,0.0,0.0,0.9158878504672897,1.0,0.9560975609756098,0.45794392523364486,0.5,0.4780487804878049,0.8388505546335924,0.9158878504672897,0.8756781399589697,0.01802096985583224,0.0,15425,0,856,856,16281,,,,
census,15,0.009336035870032552,0.868421052631579,0.0,0.0,0.0,0.868421052631579,1.0,0.9295774647887324,0.4342105263157895,0.5,0.4647887323943662,0.7541551246537397,0.868421052631579,0.8072646404744255,0.079002079002079,0.0,16129,0,152,152,16281,,,,
census,16,0.18702782384374425,0.9392446633825944,0.0,0.0,0.0,0.9392446633825944,1.0,0.968670618120237,0.4696223316912972,0.5,0.4843353090601185,0.882180537692683,0.9392446633825944,0.9098187086449517,0.030192435301924354,0.0,13236,0,3045,3045,16281,,,,
census,17,0.19832934094957314,0.9891607308764323,0.0,0.0,0.0,0.9891607308764323,1.0,0.9945508329441071,0.49458036543821615,0.5,0.49727541647205353,0.9784389515079978,0.9891607308764323,0.9837706288087574,0.005186256420485713,0.0,13052,0,3229,3229,16281,,,,
census,18,0.017812173699404212,0.9655172413793104,0.0,0.0,0.0,0.9655172413793104,1.0,0.9824561403508771,0.4827586206896552,0.5,0.49122807017543857,0.9322235434007136,0.9655172413793104,0.9485783424077434,0.017982799061767005,0.0,15991,0,290,290,16281,,,,
census,19,0.04588170259812051,0.9732262382864793,0.0,0.0,0.0,0.9732262382864793,1.0,0.9864314789687924,0.4866131191432396,0.5,0.4932157394843962,0.9471693108892508,0.9732262382864793,0.9600209976041661,0.09745055992375506,0.0,15534,0,747,747,16281,,,,
census,20,0.0812603648424544,0.9644746787603931,0.0,0.0,0.0,0.9644746787603931,1.0,0.9819161215852251,0.48223733938019653,0.5,0.49095806079261256,0.9302114059699633,0.9644746787603931,0.947033235935561,0.017675050985723997,0.0,14958,0,1323,1323,16281,,,,
census,21,0.0369756157484184,0.9667774086378738,0.0,0.0,0.0,0.9667774086378738,1.0,0.9831081081081081,0.4833887043189369,0.5,0.49155405405405406,0.9346585578525622,0.9667774086378738,0.9504467091676395,0.08971802905155227,0.0,15679,0,602,602,16281,,,,
census,22,0.036422824150850686,0.924114671163575,0.0,0.0,0.0,0.924114671163575,1.0,0.9605609114811569,0.4620573355817875,0.5,0.4802804557405784,0.8539879254597624,0.924114671163575,0.8876684308459932,0.015925680159256803,0.0,15688,0,593,593,16281,,,,
census,23,0.023585774829555924,0.8828125,0.0,0.0,0.0,0.8828125,1.0,0.9377593360995851,0.44140625,0.5,0.46887966804979253,0.77935791015625,0.8828125,0.8278656639004148,0.022900763358778626,0.0,15897,0,384,384,16281,,,,
census,24,0.02505988575640317,0.9436274509803921,0.0,0.0,0.0,0.9436274509803921,1.0,0.9709962168978562,0.47181372549019607,0.5,0.4854981084489281,0.8904327662437524,0.9436274509803921,0.9162586850629281,0.026232948583420776,0.0,15873,0,408,408,16281,,,,
census,25,0.23868312757201646,0.9621718991250643,0.0,0.0,0.0,0.9621718991250643,1.0,0.9807213114754099,0.48108594956253214,0.5,0.49036065573770493,0.9257747634659329,0.9621718991250643,0.9436224867747188,0.017906986730794005,0.0,12395,0,3886,3886,16281,,,,
census,26,0.014925373134328358,0.9382716049382716,0.0,0.0,0.0,0.9382716049382716,1.0,0.9681528662420382,0.4691358024691358,0.5,0.4840764331210191,0.88035360463344,0.9382716049382716,0.908390343634505,0.019315188762071993,0.0,16038,0,243,243,16281,,,,
census,27,0.00835329525213439,0.9558823529411765,0.0,0.0,0.0,0.9558823529411765,1.0,0.9774436090225563,0.47794117647058826,0.5,0.48872180451127817,0.9137110726643599,0.9558823529411765,0.9343210968597965,0.004054054054054054,0.0,16145,0,136,136,16281,,,,
census,28,0.004913703089490818,0.875,0.0,0.0,0.0,0.875,1.0,0.9333333333333333,0.4375,0.5,0.4666666666666667,0.765625,0.875,0.8166666666666667,0.0425531914893617,0.0,16201,0,80,80,16281,,,,
census,29,0.004668017935016276,0.9342105263157895,0.0,0.0,0.0,0.9342105263157895,1.0,0.9659863945578232,0.46710526315789475,0.5,0.4829931972789116,0.8727493074792244,0.9342105263157895,0.9024346580737559,0.00980392156862745,0.0,16205,0,76,76,16281,,,,
census,30,0.0074319759228548615,0.9504132231404959,0.0,0.0,0.0,0.9504132231404959,1.0,0.9745762711864406,0.47520661157024796,0.5,0.4872881355932203,0.903285294720306,0.9504132231404959,0.9262501750945511,0.005319148936170213,0.0,16160,0,121,121,16281,,,,
census,31,0.07290706959032,0.8652064026958719,0.0,0.0,0.0,0.8652064026958719,1.0,0.9277326106594399,0.43260320134793595,0.5,0.46386630532971995,0.7485821192659313,0.8652064026958719,0.8026801947323039,0.04416243654822335,0.0,15094,0,1187,1187,16281,,,,
census,32,0.019040599471776918,0.7419354838709677,0.7419354838709677,1.0,0.8518518518518519,0.0,0.0,0.0,0.3709677419354839,0.5,0.42592592592592593,0.5504682622268471,0.7419354838709677,0.6320191158900836,0.612094395280236,1.0,15971,310,0,310,16281,,,,
census,33,0.014556845402616547,0.7721518987341772,0.0,0.0,0.0,0.7721518987341772,1.0,0.8714285714285713,0.3860759493670886,0.5,0.43571428571428567,0.596218554718795,0.7721518987341772,0.672875226039783,0.1224764468371467,0.0,16044,0,237,237,16281,,,,
census,34,0.001658374792703151,0.4074074074074074,0.4074074074074074,1.0,0.5789473684210525,0.0,0.0,0.0,0.2037037037037037,0.5,0.28947368421052627,0.16598079561042522,0.4074074074074074,0.23586744639376214,0.7628865979381443,1.0,16254,27,0,27,16281,,,,
census,35,0.012529942878201585,0.7107843137254902,0.7107843137254902,1.0,0.830945558739255,0.0,0.0,0.0,0.3553921568627451,0.5,0.4154727793696275,0.505214340638216,0.7107843137254902,0.5906230687117254,0.45722713864306785,1.0,16077,204,0,204,16281,,,,
census,36,0.003746698605736748,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,0.0,0.0,0.0,0.19672131147540983,0.5,0.2823529411764706,0.15479709755442086,0.39344262295081966,0.22217936354869816,0.8406593406593407,1.0,16220,61,0,61,16281,,,,
census,37,0.018917756894539648,0.9545454545454546,0.0,0.0,0.0,0.9545454545454546,1.0,0.9767441860465117,0.4772727272727273,0.5,0.48837209302325585,0.9111570247933884,0.9545454545454546,0.9323467230443975,0.02406015037593985,0.0,15973,0,308,308,16281,,,,
census,38,0.004299490203304466,0.8857142857142857,0.0,0.0,0.0,0.8857142857142857,1.0,0.9393939393939393,0.44285714285714284,0.5,0.46969696969696967,0.7844897959183673,0.8857142857142857,0.832034632034632,0.07456140350877193,0.0,16211,0,70,70,16281,,,,
census,39,0.013082734475769301,0.7417840375586855,0.7417840375586855,1.0,0.8517520215633424,0.0,0.0,0.0,0.37089201877934275,0.5,0.4258760107816712,0.5502435583768652,0.7417840375586855,0.6318160535540286,0.4897959183673469,1.0,16068,213,0,213,16281,,,,
census,40,0.0015969535040845158,0.9230769230769231,0.0,0.0,0.0,0.9230769230769231,1.0,0.9600000000000001,0.46153846153846156,0.5,0.48000000000000004,0.8520710059171598,0.9230769230769231,0.8861538461538463,0.10869565217391304,0.0,16255,0,26,26,16281,,,,
census,41,0.001658374792703151,0.8148148148148148,0.0,0.0,0.0,0.8148148148148148,1.0,0.8979591836734693,0.4074074074074074,0.5,0.44897959183673464,0.6639231824417009,0.8148148148148148,0.7316704459561602,0.08333333333333333,0.0,16254,0,27,27,16281,,,,
census,42,0.0031324857195503962,0.8823529411764706,0.8823529411764706,1.0,0.9375,0.0,0.0,0.0,0.4411764705882353,0.5,0.46875,0.7785467128027681,0.8823529411764706,0.8272058823529411,0.11594202898550725,1.0,16230,51,0,51,16281,,,,
census,43,0.034395921626435726,0.9196428571428571,0.0,0.0,0.0,0.9196428571428571,1.0,0.9581395348837208,0.45982142857142855,0.5,0.4790697674418604,0.8457429846938774,0.9196428571428571,0.8811461794019932,0.03223932616903863,0.0,15721,0,560,560,16281,,,,
census,44,0.03672993059394386,0.782608695652174,0.0,0.0,0.0,0.782608695652174,1.0,0.878048780487805,0.391304347826087,0.5,0.4390243902439025,0.612476370510397,0.782608695652174,0.687168610816543,0.04364640883977901,0.0,15683,0,598,598,16281,,,,
census,45,0.05048829924451815,0.8661800486618005,0.0,0.0,0.0,0.8661800486618005,1.0,0.9282920469361148,0.43309002433090027,0.5,0.4641460234680574,0.7502678766997591,0.8661800486618005,0.8040680503874863,0.02664576802507837,0.0,15459,0,822,822,16281,,,,
census,46,0.01400405380504883,0.7017543859649122,0.0,0.0,0.0,0.7017543859649122,1.0,0.8247422680412371,0.3508771929824561,0.5,0.41237113402061853,0.49245921822099104,0.7017543859649122,0.5787665038885874,0.30912596401028275,0.0,16053,0,228,228,16281,,,,
census,47,0.029482218536944906,0.7229166666666667,0.0,0.0,0.0,0.7229166666666667,1.0,0.8391777509068924,0.3614583333333333,0.5,0.4195888754534462,0.5226085069444444,0.7229166666666667,0.606655582426441,0.132334581772784,0.0,15801,0,480,480,16281,,,,
census,48,0.009765984890363,0.8805031446540881,0.0,0.0,0.0,0.8805031446540881,1.0,0.9364548494983278,0.44025157232704404,0.5,0.4682274247491639,0.7752857877457379,0.8805031446540881,0.8245514398098484,0.05232558139534884,0.0,16122,0,159,159,16281,,,,
census,49,0.03402739389472391,0.5036101083032491,0.0,0.0,0.0,0.5036101083032491,1.0,0.6698679471788715,0.2518050541516246,0.5,0.3349339735894358,0.25362314118521034,0.5036101083032491,0.33735226942762664,0.40805471124620063,0.0,15727,0,554,554,16281,,,,
