noise_power,LELA-Transformer-Bag
0.0,7.330367071287973
0.05,8.263745631490435
0.1,8.775678975241524
0.15,9.130506464413234
0.2,9.371195844241551
0.25,9.635386381830488
0.3,9.65823084967477
0.35,9.702380895614624
0.4,9.836336697850909
0.45,9.81050671849932
0.5,9.740642581667219
