noise_power,dawid_skene,majority_vote,LELA,Metal,flying_squid,data_programming,ebcc,NPLM
0.0,28.147000517163956,0.004057254110063825,0.044555374554225376,0.33117222785949707,5.779340488570077,34.1665643794196,39.06008665902274,0.8883742264338902
0.05,57.81296460969107,0.0044977664947509766,0.05010661057063511,0.30155949933188303,6.6338342768805365,40.45300391742161,346.34262076445987,0.9655424356460571
0.1,59.82760626929147,0.004580037934439523,0.04983350208827427,0.3037891217640468,6.7389238732201715,47.854702489716665,335.3516973257065,1.0178703921181815
0.15,62.152151005608694,0.004670109067644391,0.053209968975612094,0.29578166348593576,6.889755129814148,57.46055041040693,282.5271271126611,1.0497078214372908
0.2,61.694995931216646,0.004733528409685407,0.05262763159615653,0.30658064569745747,6.904568944658552,69.78476883683886,266.0811448267528,1.0737815243857247
0.25,62.882180622645784,0.0047086988176618305,0.06006133556365967,0.30862908703940256,6.900559169905526,84.72979429789952,246.66791835853033,1.075966783932277
0.3,63.926275508744375,0.004757182938711984,0.05942613737923758,0.27927608149392263,6.959463119506836,102.49768785067967,190.43694353103638,1.084622757775443
0.35,64.77012424809593,0.004734584263392857,0.06489527225494385,0.3075537851878575,6.878703202520098,122.4316464321954,241.0509739603315,1.117083924157279
0.4,64.80082259859357,0.004805377551487514,0.06404316425323486,0.3069609063012259,6.931818451200213,145.20713559218817,222.2524448633194,1.1002482175827026
0.45,65.15434537615094,0.004786678722926548,0.06522178649902344,0.3149677004132952,6.9337175233023505,171.79570240633828,215.91266536712646,1.1042658942086356
0.5,65.80400964191982,0.004781569753374372,0.06921059744698661,0.30016752651759554,6.882503969328744,199.81525577817644,212.2958849498204,1.1102060079574585
