noise_power,LELA-Transformer-Bag-GNN
0.0,8.988498142787389
0.05,10.111000844410487
0.1,10.599458251680646
0.15,11.019920127732414
0.2,11.23503337587629
0.25,11.483668225152153
0.3,11.59277525969914
0.35,11.683993373598371
0.4,11.691866687365941
0.45,11.764306613377162
0.5,11.78811490535736
